step	train/iou_score
0	0.09754884243011475
1	0.2996053993701935
2	0.4032696783542633
3	0.4462764263153076
4	0.4691026210784912
5	0.497974693775177
6	0.5089464783668518
7	0.5371528267860413
8	0.5478633046150208
9	0.5559893250465393
10	0.5718144774436951
11	0.582419753074646
12	0.5820015668869019
13	0.6048052906990051
14	0.5967747569084167
15	0.6101036071777344
16	0.6071236729621887
17	0.6309821009635925
18	0.635172426700592
19	0.6349579095840454
20	0.6392861008644104
21	0.6460410356521606
22	0.6548875570297241
23	0.6476417779922485
24	0.6562115550041199
25	0.6636040806770325
26	0.6677934527397156
27	0.6767145395278931
28	0.6729289293289185
29	0.6754938960075378
30	0.6958021521568298
31	0.6913617253303528
32	0.6981831789016724
33	0.6881766319274902
34	0.7004647850990295
35	0.6927494406700134
36	0.6930125951766968
37	0.7044720649719238
38	0.6969969868659973
39	0.7030431032180786
40	0.7101674675941467
41	0.7009420990943909
42	0.699680507183075
43	0.7146772146224976
44	0.7257757186889648
45	0.7278995513916016
46	0.725628674030304
47	0.7195401191711426
48	0.7191430330276489
49	0.7194436192512512
50	0.7209866642951965
51	0.731377899646759
52	0.7329626083374023
53	0.7410410642623901
54	0.7392756342887878
55	0.7305390238761902
56	0.7321476936340332
57	0.7560197710990906
58	0.7570331692695618
59	0.7511625289916992
60	0.7469306588172913
61	0.7507362365722656
62	0.7594126462936401
63	0.7520512938499451
64	0.7592812180519104
65	0.7647942304611206
66	0.7736582159996033
67	0.7743313908576965
68	0.7823686599731445
69	0.7911195158958435
70	0.7836567163467407
71	0.789631187915802
72	0.7894231677055359
73	0.7845182418823242
74	0.8007955551147461
75	0.8012563586235046
76	0.8010340332984924
77	0.7962166666984558
78	0.7969407439231873
79	0.8033164143562317
80	0.7909928560256958
81	0.8007125854492188
82	0.802586019039154
83	0.8148636817932129
84	0.8111812472343445
85	0.8164786696434021
86	0.8165555596351624
87	0.8155937194824219
88	0.8224951028823853
89	0.820155143737793
90	0.8183279633522034
91	0.816299557685852
92	0.8275038003921509
93	0.8133238554000854
94	0.817716121673584
95	0.828005850315094
96	0.8381001353263855
97	0.8304590582847595
98	0.815552830696106
99	0.8289133906364441
100	0.834271252155304
101	0.8246554732322693
102	0.8282204866409302
103	0.8447579145431519
104	0.8370866775512695
105	0.8356478810310364
106	0.8392939567565918
107	0.8322786092758179
108	0.8296013474464417
109	0.8429180979728699
110	0.8385184407234192
111	0.8324818015098572
112	0.837165892124176
113	0.8406225442886353
114	0.8387483954429626
115	0.8418501615524292
116	0.8314083814620972
117	0.8437386751174927
118	0.8322433233261108
119	0.838668167591095
120	0.8331127762794495
121	0.8326420187950134
122	0.8471713662147522
123	0.8403518795967102
124	0.8384490609169006
125	0.8371158242225647
126	0.840920090675354
127	0.8456595540046692
128	0.8418505787849426
129	0.8413311243057251
130	0.8443318009376526
131	0.8472581505775452
132	0.8455969095230103
133	0.8494223356246948
134	0.8500323295593262
135	0.8466320633888245
136	0.8452982306480408
137	0.855145275592804
138	0.8370961546897888
139	0.8429514765739441
140	0.8402149081230164
141	0.8513537049293518
142	0.8479267358779907
143	0.8476199507713318
144	0.8472509384155273
145	0.8484667539596558
146	0.8477553725242615
147	0.8473867774009705
148	0.8523082733154297
149	0.8587712049484253
