step	train/loss
0	0.8253518342971802
1	0.5402726531028748
2	0.42603588104248047
3	0.3833100497722626
4	0.36184051632881165
5	0.3362005054950714
6	0.32599303126335144
7	0.3014238774776459
8	0.2923530042171478
9	0.2860579490661621
10	0.2726513743400574
11	0.2644512951374054
12	0.26472821831703186
13	0.2465733140707016
14	0.252828449010849
15	0.24257518351078033
16	0.24478211998939514
17	0.2267443984746933
18	0.22354641556739807
19	0.2237408459186554
20	0.22065182030200958
21	0.21538101136684418
22	0.20869626104831696
23	0.21428214013576508
24	0.20801138877868652
25	0.20254667103290558
26	0.19950363039970398
27	0.19312801957130432
28	0.19586369395256042
29	0.19394811987876892
30	0.17953123152256012
31	0.18272702395915985
32	0.1780538707971573
33	0.1849973201751709
34	0.1764877289533615
35	0.18164274096488953
36	0.18175649642944336
37	0.17380928993225098
38	0.17882902920246124
39	0.174642413854599
40	0.16981686651706696
41	0.17614947259426117
42	0.17702706158161163
43	0.16674776375293732
44	0.15906180441379547
45	0.1580144315958023
46	0.15928563475608826
47	0.16330231726169586
48	0.16363559663295746
49	0.16346189379692078
50	0.1622963696718216
51	0.1554972231388092
52	0.15430712699890137
53	0.14891256392002106
54	0.15008386969566345
55	0.1559385508298874
56	0.15506227314472198
57	0.13910409808158875
58	0.13860371708869934
59	0.1425207406282425
60	0.14529572427272797
61	0.1425091177225113
62	0.13702721893787384
63	0.14231550693511963
64	0.1372004896402359
65	0.1334521472454071
66	0.12781628966331482
67	0.12745001912117004
68	0.12262798100709915
69	0.11675652116537094
70	0.12152142822742462
71	0.11761738359928131
72	0.11794500797986984
73	0.12106287479400635
74	0.11077465116977692
75	0.11051927506923676
76	0.11070321500301361
77	0.11354052275419235
78	0.1132577657699585
79	0.1092091053724289
80	0.11692006140947342
81	0.11087371408939362
82	0.10965708643198013
83	0.10224126279354095
84	0.1044265404343605
85	0.10119947046041489
86	0.10122223943471909
87	0.10176883637905121
88	0.09756922721862793
89	0.09897906333208084
90	0.10003559291362762
91	0.10133267939090729
92	0.0947088822722435
93	0.10322576761245728
94	0.10066570341587067
95	0.09425733238458633
96	0.08832927793264389
97	0.09286122769117355
98	0.10184615105390549
99	0.09371648728847504
100	0.09053325653076172
101	0.09631586074829102
102	0.09423274546861649
103	0.0842726081609726
104	0.08885031193494797
105	0.08966195583343506
106	0.0875510647892952
107	0.09173058718442917
108	0.09335017204284668
109	0.08532512187957764
110	0.08788127452135086
111	0.09148679673671722
112	0.08874479681253433
113	0.08674820512533188
114	0.0879698246717453
115	0.08597610890865326
116	0.09239687770605087
117	0.08493884652853012
118	0.0917716845870018
119	0.08815373480319977
120	0.09132011979818344
121	0.09163220971822739
122	0.08289022743701935
123	0.08692590147256851
124	0.087978295981884
125	0.088779978454113
126	0.08653473854064941
127	0.08401952683925629
128	0.08591949939727783
129	0.08629854023456573
130	0.08458047360181808
131	0.08292689174413681
132	0.08392500877380371
133	0.08152283728122711
134	0.08119518309831619
135	0.08321903645992279
136	0.08396254479885101
137	0.07819201052188873
138	0.0888599157333374
139	0.0854499563574791
140	0.0870458111166954
141	0.08044406026601791
142	0.08246274292469025
143	0.08272715657949448
144	0.08299890905618668
145	0.08206512033939362
146	0.08264812082052231
147	0.08271437138319016
148	0.07988943159580231
149	0.07611624151468277
