step	train/loss
0	0.9342673420906067
1	0.708238959312439
2	0.6279709339141846
3	0.5941821336746216
4	0.5584165453910828
5	0.5275130867958069
6	0.5262161493301392
7	0.49999216198921204
8	0.48824959993362427
9	0.46959540247917175
10	0.45855391025543213
11	0.44679349660873413
12	0.4436791241168976
13	0.42558977007865906
14	0.41509532928466797
15	0.42169487476348877
16	0.4078623056411743
17	0.40480494499206543
18	0.3903766870498657
19	0.3910068869590759
20	0.3818110525608063
21	0.37120696902275085
22	0.36576682329177856
23	0.35950732231140137
24	0.354783833026886
25	0.35981485247612
26	0.3481169044971466
27	0.356634259223938
28	0.3554935157299042
29	0.34935203194618225
30	0.33714982867240906
31	0.33399680256843567
32	0.3296162784099579
33	0.3243720233440399
34	0.3223940134048462
35	0.31384170055389404
36	0.32287976145744324
37	0.3066689670085907
38	0.3169243335723877
39	0.3074261248111725
40	0.3008226752281189
41	0.3027441203594208
42	0.29633545875549316
43	0.30134597420692444
44	0.2950526177883148
45	0.28462785482406616
46	0.2844046950340271
47	0.2770633399486542
48	0.2876812219619751
49	0.27775147557258606
50	0.27963384985923767
51	0.27638113498687744
52	0.2816230356693268
53	0.27747467160224915
54	0.2736237943172455
55	0.2704082429409027
56	0.27700290083885193
57	0.2695944309234619
58	0.27239060401916504
59	0.26786550879478455
60	0.25546276569366455
61	0.24708817899227142
62	0.24092276394367218
63	0.24110303819179535
64	0.2225979119539261
65	0.2210637927055359
66	0.229011669754982
67	0.22851057350635529
68	0.21878986060619354
69	0.21664226055145264
70	0.22271764278411865
71	0.2151218056678772
72	0.21543249487876892
73	0.2160027176141739
74	0.20887938141822815
75	0.21644771099090576
76	0.21289271116256714
77	0.21611981093883514
78	0.21627891063690186
79	0.21010413765907288
80	0.2109624743461609
81	0.20490844547748566
82	0.19712784886360168
83	0.20409904420375824
84	0.20510457456111908
85	0.20301024615764618
86	0.20314237475395203
87	0.2048293799161911
88	0.20333439111709595
89	0.20328769087791443
90	0.19948142766952515
91	0.19297507405281067
92	0.19283783435821533
93	0.19143031537532806
94	0.19367235898971558
95	0.19809424877166748
96	0.18508313596248627
97	0.1847151815891266
98	0.18955960869789124
99	0.1782199740409851
