step	train/iou_score
0	0.06981591135263443
1	0.29149988293647766
2	0.3702429533004761
3	0.4006025791168213
4	0.4417472183704376
5	0.47150713205337524
6	0.47598233819007874
7	0.49941012263298035
8	0.5142665505409241
9	0.529649019241333
10	0.5415393710136414
11	0.550703227519989
12	0.5610260963439941
13	0.5766863822937012
14	0.5820791125297546
15	0.5766139030456543
16	0.5891885757446289
17	0.5942099094390869
18	0.604225218296051
19	0.6032503247261047
20	0.6241338849067688
21	0.6297610998153687
22	0.6330744624137878
23	0.6380754113197327
24	0.6483185887336731
25	0.6317948698997498
26	0.6541861295700073
27	0.6464558839797974
28	0.6487793922424316
29	0.6494548320770264
30	0.6614354848861694
31	0.6617072224617004
32	0.6678168177604675
33	0.6765516400337219
34	0.680241584777832
35	0.6813759803771973
36	0.6810835003852844
37	0.6816050410270691
38	0.6816162467002869
39	0.6928245425224304
40	0.7013394236564636
41	0.6953332424163818
42	0.7001571655273438
43	0.6994772553443909
44	0.6961656212806702
45	0.7164514660835266
46	0.7129807472229004
47	0.7230761051177979
48	0.7105867862701416
49	0.7238197326660156
50	0.7235231399536133
51	0.7222604751586914
52	0.7164169549942017
53	0.720565915107727
54	0.7314817905426025
55	0.7267643213272095
56	0.7159340977668762
57	0.7318510413169861
58	0.7299817800521851
59	0.7359528541564941
60	0.7477580904960632
61	0.7490082383155823
62	0.7589893341064453
63	0.7618639469146729
64	0.777436375617981
65	0.7797239422798157
66	0.7730752825737
67	0.7678516507148743
68	0.7823930978775024
69	0.7798174619674683
70	0.7790931463241577
71	0.7813804745674133
72	0.7885791659355164
73	0.7772737741470337
74	0.7912726998329163
75	0.7804150581359863
76	0.783305287361145
77	0.7842690944671631
78	0.7825878262519836
79	0.7886379361152649
80	0.7883575558662415
81	0.7943592667579651
82	0.8004209995269775
83	0.7988437414169312
84	0.7960872650146484
85	0.800823450088501
86	0.7951988577842712
87	0.7987717986106873
88	0.7940502762794495
89	0.79902184009552
90	0.7995882034301758
91	0.8074542284011841
92	0.8095778226852417
93	0.8088512420654297
94	0.8088976740837097
95	0.7986218333244324
96	0.8146471381187439
97	0.8082085251808167
98	0.8117750883102417
99	0.8238269686698914
