timestamp	step	train/box_loss
1668063142812	0	11.623559951782227
1668063180300	1	8.890371322631836
1668063217104	2	7.464333534240723
1668063253318	3	6.713128089904785
1668063289711	4	5.331901550292969
1668063326494	5	4.835400104522705
1668063363164	6	4.525994777679443
1668063400601	7	3.7301342487335205
1668063438904	8	3.4235758781433105
1668063475648	9	3.0691323280334473
1668063515361	10	3.0323805809020996
1668063554315	11	2.596872568130493
1668063595482	12	2.5369982719421387
1668063634291	13	2.5318751335144043
1668063678469	14	2.458696126937866
1668063716975	15	2.5240461826324463
1668063764279	16	2.283029317855835
1668063804088	17	2.1583809852600098
1668063844606	18	2.3866829872131348
1668063892213	19	2.408421039581299
1668063938900	20	2.1207566261291504
1668063987873	21	1.7699332237243652
1668064033965	22	1.6938408613204956
1668064079173	23	1.695493459701538
1668064127949	24	1.6613469123840332
1668064169962	25	1.628825306892395
1668064218469	26	1.5435199737548828
1668064266008	27	1.4739006757736206
1668064315380	28	1.5201059579849243
1668064363890	29	1.3737597465515137
1668064414127	30	1.6045544147491455
1668064462433	31	1.5920448303222656
1668064508498	32	1.3397217988967896
1668064557237	33	1.3304494619369507
1668064604418	34	1.3673732280731201
1668064652597	35	1.4898053407669067
1668064700111	36	1.5501314401626587
1668064746807	37	1.2841665744781494
1668064795584	38	1.2718844413757324
1668064844131	39	1.101812720298767
1668064892889	40	1.207831859588623
1668064935573	41	1.2109650373458862
1668064984801	42	1.16956627368927
1668065035088	43	1.154665231704712
1668065083971	44	1.3553980588912964
1668065127686	45	1.3794827461242676
1668065180277	46	1.2556887865066528
1668065225583	47	1.1797504425048828
1668065274706	48	1.1110560894012451
1668065321498	49	1.173548936843872
1668065369379	50	1.2321555614471436
1668065419596	51	1.2197051048278809
1668065467746	52	1.214148998260498
1668065515997	53	1.1183979511260986
1668065563565	54	1.2096971273422241
1668065613217	55	1.366842269897461
1668065666815	56	1.2832419872283936
1668065717587	57	1.1011874675750732
1668065768423	58	1.0525612831115723
1668065819112	59	1.0998210906982422
1668065869611	60	1.1316734552383423
1668065918411	61	1.1823160648345947
1668065966480	62	1.1244828701019287
1668066013676	63	0.9099442958831787
1668066063842	64	1.0594111680984497
1668066113600	65	0.890699028968811
1668066164194	66	0.8929911851882935
1668066213639	67	0.8075449466705322
1668066263357	68	0.6655884981155396
1668066311913	69	0.5973204374313354
1668066362180	70	0.6348686218261719
1668066412419	71	0.6049880385398865
1668066461990	72	0.5069602131843567
1668066511606	73	0.4827381372451782
1668066561303	74	0.5389373302459717
1668066610381	75	0.45665690302848816
1668066660279	76	0.47923043370246887
1668066709870	77	0.47448617219924927
1668066759530	78	0.4950888752937317
1668066810695	79	0.4406723380088806
1668066860691	80	0.4386768639087677
1668066910004	81	0.4575198292732239
1668066959887	82	0.4774898290634155
1668067011027	83	0.5295819044113159
1668067060846	84	0.4275246858596802
1668067112174	85	0.497975617647171
1668067163117	86	0.496679425239563
1668067213080	87	0.47270309925079346
1668067263173	88	0.43730658292770386
1668067313538	89	0.4352416694164276
1668067363492	90	0.5324968695640564
1668067414882	91	0.37272733449935913
1668067465669	92	0.4081032872200012
1668067516189	93	0.3851257562637329
1668067566008	94	0.4382510483264923
1668067616125	95	0.45310550928115845
1668067665007	96	0.44425585865974426
1668067715379	97	0.47356873750686646
1668067765417	98	0.4806440770626068
1668067814668	99	0.40695804357528687
