timestamp	step	train/loss
1660489800911	0	3.4723899364471436
1660489839631	1	3.154407262802124
1660489878652	2	2.826676607131958
1660489917617	3	2.4701592922210693
1660489961533	4	2.2828173637390137
1660490003116	5	2.154665231704712
1660490044394	6	1.6390708684921265
1660490087776	7	1.3640987873077393
1660490130291	8	1.0530859231948853
1660490170825	9	0.9645551443099976
1660490211911	10	0.9465070366859436
1660490251883	11	0.80240797996521
1660490293277	12	0.5430285930633545
1660490338328	13	0.4177727699279785
1660490383780	14	0.3639596700668335
1660490429825	15	0.41942480206489563
1660490476169	16	0.3735102713108063
1660490522963	17	0.3570903539657593
1660490571546	18	0.3990672826766968
1660490617507	19	0.2614535987377167
1660490665923	20	0.19637736678123474
1660490714001	21	0.24252328276634216
1660490760619	22	0.21534611284732819
1660490809022	23	0.23917527496814728
1660490857401	24	0.19138604402542114
1660490905960	25	0.1526157557964325
1660490953830	26	0.15826058387756348
1660491003466	27	0.13111482560634613
1660491048967	28	0.16500742733478546
1660491096523	29	0.16875457763671875
1660491140455	30	0.1453581005334854
1660491183299	31	0.13262812793254852
1660491223642	32	0.13242632150650024
1660491264294	33	0.12260079383850098
1660491305329	34	0.14183379709720612
1660491341377	35	0.10613458603620529
1660491378256	36	0.09088125079870224
1660491415887	37	0.08123718947172165
1660491452123	38	0.06994237005710602
1660491488931	39	0.06190438196063042
1660491533083	40	0.05036303773522377
1660491571018	41	0.03658130392432213
1660491607422	42	0.04145840182900429
1660491644024	43	0.036121658980846405
1660491680673	44	0.034437138587236404
1660491718275	45	0.03778504207730293
1660491755727	46	0.03746643662452698
1660491792095	47	0.037223510444164276
1660491829496	48	0.0330127514898777
1660491865490	49	0.03511852025985718
