timestamp	step	train/iou_score
1663414619590	0	0.06674301624298096
1663414624555	1	0.166036456823349
1663414628152	2	0.31055670976638794
1663414631085	3	0.40180644392967224
1663414634817	4	0.48514270782470703
1663414638443	5	0.5190092921257019
1663414642535	6	0.537754237651825
1663414645149	7	0.5716018676757812
1663414648708	8	0.5926321744918823
1663414652444	9	0.6156545877456665
1663414656020	10	0.6438780426979065
1663414659859	11	0.6527808308601379
1663414663463	12	0.680709958076477
1663414667070	13	0.6891564130783081
1663414670863	14	0.6941400170326233
1663414673458	15	0.7096957564353943
1663414677119	16	0.7024549841880798
1663414679735	17	0.7102922201156616
1663414683926	18	0.7284942269325256
1663414686524	19	0.729891836643219
1663414690291	20	0.7249650359153748
1663414692875	21	0.7434621453285217
1663414696535	22	0.7451095581054688
1663414699138	23	0.7649168372154236
1663414702757	24	0.7730033993721008
1663414705352	25	0.7692844271659851
1663414708083	26	0.7857702970504761
1663414712250	27	0.7863932251930237
1663414715960	28	0.7902070879936218
1663414718652	29	0.7896014451980591
1663414721320	30	0.7918458580970764
1663414723970	31	0.8043442964553833
1663414726587	32	0.807992160320282
1663414729222	33	0.8138194680213928
1663414731835	34	0.817395806312561
1663414734565	35	0.8202906847000122
1663414737163	36	0.816914975643158
1663414739743	37	0.8219051361083984
1663414743391	38	0.8293041586875916
1663414747075	39	0.8348814249038696
1663414750439	40	0.8429468870162964
1663414753071	41	0.8455201983451843
1663414755722	42	0.84815913438797
1663414758327	43	0.8381242156028748
1663414760987	44	0.8544332385063171
1663414763567	45	0.8520250916481018
1663414766160	46	0.8420819640159607
1663414769010	47	0.8420777320861816
1663414771663	48	0.8498011827468872
1663414774237	49	0.8488494157791138
1663414777105	50	0.8558892607688904
1663414779726	51	0.863754391670227
1663414782387	52	0.8636602759361267
1663414785042	53	0.8660508990287781
1663414787655	54	0.8662220239639282
1663414790233	55	0.8651906251907349
1663414792827	56	0.8653076887130737
1663414795431	57	0.8584584593772888
1663414798037	58	0.8689658045768738
1663414800638	59	0.8723134398460388
