timestamp	step	train/iou_score
1664132609316	0	0.016851933673024178
1664132612311	1	0.07325395196676254
1664132615328	2	0.2148231565952301
1664132618325	3	0.37030771374702454
1664132621330	4	0.4336480498313904
1664132624343	5	0.4973123073577881
1664132627364	6	0.5524436235427856
1664132630350	7	0.5806843042373657
1664132633365	8	0.6177038550376892
1664132636356	9	0.655579149723053
1664132639326	10	0.6821708083152771
1664132642339	11	0.707175076007843
1664132645353	12	0.7130061984062195
1664132648366	13	0.7187053561210632
1664132651356	14	0.748200535774231
1664132654360	15	0.7526304125785828
1664132657359	16	0.7474363446235657
1664132660362	17	0.7688573002815247
1664132663379	18	0.780813992023468
1664132666382	19	0.7930741310119629
1664132669371	20	0.7945640683174133
1664132672374	21	0.798874020576477
1664132675368	22	0.8036502003669739
1664132678359	23	0.8010848760604858
1664132681339	24	0.8162330985069275
1664132684378	25	0.8177976012229919
1664132687366	26	0.8219978213310242
1664132690370	27	0.8265728950500488
1664132693362	28	0.8308430910110474
1664132696351	29	0.8360975980758667
1664132699348	30	0.8400163650512695
1664132702363	31	0.8413325548171997
1664132705361	32	0.8386339545249939
1664132708358	33	0.8379612565040588
1664132711344	34	0.8378700613975525
1664132714363	35	0.8468644022941589
1664132717395	36	0.851982057094574
1664132720400	37	0.84068763256073
1664132723390	38	0.854675829410553
1664132726380	39	0.8568354845046997
1664132729372	40	0.8543123602867126
1664132732387	41	0.8607535362243652
1664132735400	42	0.8694583177566528
1664132738405	43	0.8632039427757263
1664132741404	44	0.8654516339302063
1664132744403	45	0.8697090744972229
1664132747413	46	0.8672317266464233
1664132750428	47	0.8576650619506836
1664132753444	48	0.8603740930557251
1664132756424	49	0.8642778396606445
1664132759404	50	0.876035213470459
1664132762396	51	0.8768919706344604
1664132765398	52	0.8788987398147583
1664132768390	53	0.8769382834434509
1664132771374	54	0.8794509768486023
1664132774390	55	0.8806161284446716
1664132777394	56	0.8876262307167053
1664132780372	57	0.8888698816299438
1664132783389	58	0.8916841149330139
1664132786395	59	0.8877248167991638
